Street_One,Street_Two,Latitude,Longitude
MISSION ST,18TH ST,37.76184,-122.41937
MISSION ST,LEO ST,37.72246,-122.43651
MISSION ST,POWERS AVE,37.74618,-122.41951
MISSION ST,SANTA ROSA AVE,37.72576,-122.43401
MISSION ST,FLORENTINE AVE,37.71338,-122.44396
MISSION ST,FOOTE AVE,37.71264,-122.44477
MISSION ST,BOSWORTH ST,37.73367,-122.42644
MISSION ST,EXCELSIOR AVE,37.72624,-122.43364
MISSION ST,WASHBURN ST,37.77589,-122.41514
MISSION ST,MORSE ST,37.71035,-122.44837
MISSION ST,ANGELOS ALY,37.77816,-122.41227
MISSION ST,BROOK ST,37.74065,-122.42307
MISSION ST,09TH ST,37.77867,-122.4116
MISSION ST,OTTAWA AVE,37.71361,-122.44373
MISSION ST,NIAGARA AVE,37.71558,-122.44172
MISSION ST,ACTON ST,37.7088,-122.45276
MISSION ST,05TH ST,37.77867,-122.4116
MISSION ST,24TH ST,37.75226,-122.41849
MISSION ST,GRACE ST,37.77561,-122.41549
